,xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xege,xegvy,yege,yegvx,lettr,prediction
2,2.0,8.0,3.0,5.0,1.0,8.0,13.0,0.0,6.0,6.0,10.0,8.0,0.0,8.0,0.0,8.0,T,T
3,5.0,12.0,3.0,7.0,2.0,10.0,5.0,5.0,4.0,13.0,3.0,9.0,2.0,8.0,4.0,10.0,I,I
4,4.0,11.0,6.0,8.0,6.0,10.0,6.0,2.0,6.0,10.0,3.0,7.0,3.0,7.0,3.0,9.0,D,K
5,7.0,11.0,6.0,6.0,3.0,5.0,9.0,4.0,6.0,4.0,4.0,10.0,6.0,10.0,2.0,8.0,N,N
6,2.0,1.0,3.0,1.0,1.0,8.0,6.0,6.0,6.0,6.0,5.0,9.0,1.0,7.0,5.0,10.0,G,G
7,4.0,11.0,5.0,8.0,3.0,8.0,8.0,6.0,9.0,5.0,6.0,6.0,0.0,8.0,9.0,7.0,S,S
8,4.0,2.0,5.0,4.0,4.0,8.0,7.0,6.0,6.0,7.0,6.0,6.0,2.0,8.0,7.0,10.0,B,B
9,1.0,1.0,3.0,2.0,1.0,8.0,2.0,2.0,2.0,8.0,2.0,8.0,1.0,6.0,2.0,7.0,A,A
10,2.0,2.0,4.0,4.0,2.0,10.0,6.0,2.0,6.0,12.0,4.0,8.0,1.0,6.0,1.0,7.0,J,J
11,11.0,15.0,13.0,9.0,7.0,13.0,2.0,6.0,2.0,12.0,1.0,9.0,8.0,1.0,1.0,8.0,M,M
12,3.0,9.0,5.0,7.0,4.0,8.0,7.0,3.0,8.0,5.0,6.0,8.0,2.0,8.0,6.0,7.0,X,X
13,6.0,13.0,4.0,7.0,4.0,6.0,7.0,6.0,3.0,10.0,7.0,9.0,5.0,9.0,5.0,8.0,O,O
14,4.0,9.0,6.0,7.0,6.0,7.0,8.0,6.0,2.0,6.0,5.0,11.0,4.0,8.0,7.0,8.0,G,G
15,6.0,9.0,8.0,6.0,9.0,7.0,8.0,6.0,5.0,7.0,5.0,8.0,8.0,9.0,8.0,6.0,M,N
16,5.0,9.0,5.0,7.0,6.0,6.0,11.0,7.0,3.0,7.0,3.0,9.0,2.0,7.0,5.0,11.0,R,R
17,6.0,9.0,5.0,4.0,3.0,10.0,6.0,3.0,5.0,10.0,5.0,7.0,3.0,9.0,6.0,9.0,F,F
18,3.0,4.0,4.0,3.0,2.0,8.0,7.0,7.0,5.0,7.0,6.0,8.0,2.0,8.0,3.0,8.0,O,O
19,7.0,10.0,5.0,5.0,2.0,6.0,8.0,6.0,8.0,11.0,7.0,11.0,2.0,8.0,5.0,9.0,C,C
20,6.0,11.0,6.0,8.0,5.0,6.0,11.0,5.0,6.0,11.0,9.0,4.0,3.0,12.0,2.0,4.0,T,T
21,2.0,2.0,3.0,3.0,1.0,10.0,6.0,3.0,6.0,12.0,4.0,9.0,0.0,7.0,1.0,7.0,J,J
22,1.0,3.0,2.0,2.0,1.0,8.0,8.0,2.0,5.0,14.0,5.0,8.0,0.0,7.0,0.0,7.0,J,J
23,4.0,5.0,5.0,4.0,4.0,7.0,7.0,6.0,6.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,H,H
24,3.0,2.0,3.0,3.0,2.0,8.0,8.0,7.0,5.0,7.0,5.0,7.0,2.0,8.0,9.0,8.0,S,S
25,6.0,11.0,7.0,8.0,5.0,7.0,6.0,9.0,6.0,7.0,5.0,9.0,4.0,8.0,5.0,5.0,O,O
26,3.0,6.0,4.0,4.0,2.0,6.0,6.0,4.0,4.0,14.0,8.0,12.0,1.0,6.0,1.0,6.0,J,J
27,6.0,11.0,7.0,8.0,3.0,7.0,8.0,7.0,11.0,4.0,7.0,14.0,1.0,7.0,4.0,8.0,C,C
28,7.0,11.0,11.0,8.0,9.0,3.0,8.0,4.0,5.0,10.0,11.0,10.0,10.0,9.0,5.0,7.0,M,M
29,12.0,14.0,12.0,8.0,5.0,9.0,10.0,4.0,3.0,5.0,10.0,7.0,10.0,12.0,2.0,6.0,W,W
30,6.0,9.0,8.0,7.0,6.0,8.0,6.0,6.0,7.0,7.0,7.0,9.0,6.0,8.0,4.0,8.0,H,H
31,3.0,6.0,4.0,4.0,2.0,6.0,6.0,5.0,5.0,6.0,6.0,9.0,2.0,8.0,4.0,8.0,G,G
32,2.0,3.0,3.0,4.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0,L,L
33,1.0,3.0,3.0,1.0,1.0,6.0,4.0,1.0,7.0,8.0,3.0,10.0,0.0,7.0,2.0,9.0,L,L
34,8.0,12.0,8.0,6.0,4.0,3.0,10.0,4.0,7.0,12.0,11.0,9.0,3.0,7.0,3.0,4.0,X,K
35,5.0,9.0,7.0,7.0,10.0,9.0,8.0,4.0,4.0,6.0,8.0,6.0,6.0,11.0,8.0,7.0,B,P
36,6.0,9.0,9.0,7.0,6.0,5.0,6.0,3.0,5.0,10.0,9.0,9.0,8.0,5.0,2.0,7.0,M,M
37,4.0,7.0,6.0,5.0,3.0,6.0,6.0,6.0,8.0,6.0,5.0,9.0,3.0,10.0,4.0,8.0,G,G
38,4.0,7.0,5.0,5.0,3.0,7.0,7.0,8.0,6.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,O,O
39,3.0,6.0,4.0,4.0,2.0,4.0,14.0,8.0,1.0,11.0,6.0,3.0,0.0,10.0,4.0,8.0,P,P
40,4.0,9.0,5.0,6.0,6.0,8.0,5.0,4.0,3.0,7.0,5.0,11.0,6.0,8.0,5.0,11.0,G,G
41,3.0,4.0,3.0,6.0,2.0,3.0,8.0,6.0,10.0,7.0,6.0,15.0,0.0,8.0,7.0,8.0,E,E
42,5.0,11.0,8.0,8.0,4.0,8.0,8.0,1.0,8.0,10.0,5.0,7.0,3.0,8.0,4.0,8.0,X,X
43,3.0,7.0,4.0,5.0,4.0,7.0,7.0,5.0,8.0,8.0,8.0,9.0,3.0,9.0,6.0,9.0,E,E
44,4.0,6.0,7.0,4.0,3.0,9.0,7.0,2.0,8.0,11.0,3.0,7.0,3.0,8.0,4.0,9.0,X,S
45,4.0,5.0,5.0,8.0,3.0,7.0,6.0,8.0,8.0,6.0,6.0,10.0,1.0,8.0,6.0,11.0,G,G
46,7.0,9.0,6.0,5.0,2.0,8.0,10.0,4.0,5.0,8.0,10.0,5.0,4.0,12.0,3.0,8.0,V,V
47,4.0,10.0,5.0,7.0,5.0,8.0,7.0,3.0,8.0,5.0,6.0,6.0,3.0,8.0,6.0,8.0,X,X
48,5.0,9.0,6.0,7.0,8.0,7.0,9.0,5.0,3.0,7.0,9.0,8.0,6.0,8.0,3.0,8.0,W,Y
49,1.0,3.0,2.0,1.0,1.0,7.0,7.0,5.0,6.0,7.0,5.0,10.0,1.0,9.0,3.0,9.0,G,G
50,8.0,10.0,8.0,6.0,6.0,7.0,7.0,3.0,5.0,8.0,4.0,8.0,6.0,6.0,7.0,7.0,R,R
51,3.0,9.0,4.0,7.0,2.0,7.0,5.0,6.0,10.0,5.0,6.0,10.0,0.0,9.0,9.0,8.0,S,S
52,7.0,11.0,9.0,8.0,8.0,9.0,5.0,6.0,4.0,7.0,8.0,8.0,3.0,9.0,8.0,3.0,Y,Y
53,3.0,6.0,3.0,4.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,5.0,0.0,8.0,0.0,8.0,L,L
54,2.0,4.0,4.0,3.0,2.0,6.0,10.0,1.0,7.0,8.0,11.0,8.0,1.0,11.0,2.0,7.0,Y,Y
55,4.0,5.0,6.0,6.0,5.0,8.0,10.0,4.0,4.0,7.0,7.0,9.0,3.0,7.0,7.0,5.0,J,J
56,4.0,9.0,5.0,6.0,4.0,7.0,8.0,7.0,7.0,8.0,4.0,7.0,2.0,7.0,9.0,8.0,S,S
57,6.0,9.0,7.0,11.0,7.0,8.0,5.0,7.0,5.0,9.0,6.0,9.0,3.0,8.0,6.0,8.0,Q,Q
58,3.0,5.0,5.0,4.0,4.0,9.0,3.0,4.0,3.0,8.0,4.0,9.0,3.0,6.0,4.0,8.0,Q,A
59,2.0,6.0,3.0,4.0,2.0,6.0,7.0,10.0,8.0,6.0,6.0,6.0,3.0,8.0,3.0,8.0,D,D
60,6.0,10.0,4.0,5.0,2.0,6.0,9.0,6.0,6.0,11.0,7.0,7.0,2.0,9.0,5.0,9.0,C,C
61,5.0,10.0,6.0,8.0,5.0,9.0,3.0,2.0,6.0,9.0,2.0,9.0,2.0,5.0,3.0,9.0,L,A
62,3.0,3.0,3.0,5.0,2.0,7.0,7.0,13.0,2.0,5.0,6.0,8.0,5.0,8.0,0.0,8.0,N,N
63,2.0,3.0,3.0,1.0,1.0,5.0,9.0,4.0,6.0,11.0,9.0,11.0,1.0,9.0,2.0,8.0,C,C
64,6.0,9.0,4.0,4.0,2.0,7.0,7.0,4.0,7.0,10.0,6.0,10.0,1.0,9.0,7.0,9.0,E,E
65,4.0,9.0,5.0,6.0,5.0,7.0,6.0,3.0,5.0,6.0,6.0,9.0,2.0,8.0,8.0,8.0,X,X
66,3.0,3.0,4.0,1.0,2.0,8.0,7.0,5.0,6.0,7.0,6.0,8.0,5.0,8.0,3.0,7.0,H,H
67,2.0,3.0,2.0,4.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0,L,L
68,3.0,5.0,5.0,4.0,3.0,7.0,8.0,3.0,6.0,10.0,6.0,8.0,3.0,8.0,3.0,8.0,H,H
69,2.0,3.0,3.0,2.0,2.0,7.0,7.0,5.0,7.0,7.0,6.0,8.0,2.0,8.0,5.0,10.0,E,E
70,5.0,10.0,6.0,7.0,6.0,9.0,6.0,6.0,4.0,7.0,8.0,7.0,6.0,9.0,8.0,3.0,Y,Y
71,8.0,12.0,8.0,6.0,4.0,9.0,8.0,4.0,5.0,8.0,4.0,5.0,6.0,9.0,5.0,9.0,H,H
72,5.0,10.0,5.0,5.0,4.0,9.0,6.0,5.0,6.0,10.0,6.0,7.0,4.0,8.0,9.0,9.0,Q,B
73,3.0,8.0,5.0,7.0,3.0,8.0,7.0,9.0,6.0,6.0,6.0,9.0,3.0,8.0,5.0,9.0,Q,Q
74,4.0,6.0,6.0,4.0,5.0,8.0,5.0,6.0,4.0,6.0,7.0,10.0,4.0,7.0,5.0,9.0,Q,G
75,2.0,8.0,3.0,6.0,1.0,13.0,3.0,8.0,4.0,13.0,3.0,11.0,1.0,6.0,0.0,8.0,J,J
76,4.0,7.0,5.0,5.0,2.0,8.0,9.0,1.0,7.0,14.0,5.0,6.0,0.0,8.0,1.0,8.0,J,I
77,4.0,5.0,5.0,4.0,3.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,2.0,8.0,3.0,7.0,D,D
78,2.0,6.0,4.0,4.0,3.0,6.0,7.0,5.0,5.0,6.0,5.0,7.0,3.0,7.0,5.0,8.0,R,R
79,4.0,5.0,7.0,4.0,4.0,6.0,6.0,3.0,4.0,9.0,9.0,10.0,7.0,5.0,2.0,8.0,M,M
