Accuracy of KNN with k = 4: 0.9645
Confusion Matrix
Predicted = Horizontal, Actual = Vertical
       T      I      D      N      G      S      B      A      J  ...      L      P      E      V      Y      Q      U      K      Z
T  774.0    0.0    0.0    0.0    0.0    1.0    0.0    0.0    0.0  ...    0.0    0.0    0.0    0.0    9.0    0.0    0.0    0.0    0.0
I    1.0  724.0    0.0    0.0    0.0    0.0    0.0    0.0   27.0  ...    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
D    1.0    1.0  781.0    4.0    7.0    0.0    4.0    0.0    0.0  ...    0.0    1.0    0.0    0.0    0.0    1.0    1.0    1.0    0.0
N    0.0    0.0    4.0  756.0    0.0    0.0    0.0    0.0    1.0  ...    0.0    1.0    0.0    1.0    0.0    0.0    1.0    0.0    0.0
G    0.0    0.0    1.0    0.0  733.0    0.0    1.0    0.0    0.0  ...    4.0    1.0   11.0    1.0    0.0    1.0    0.0    1.0    0.0
S    0.0    0.0    1.0    0.0    1.0  736.0    2.0    0.0    0.0  ...    0.0    0.0    2.0    0.0    0.0    0.0    0.0    0.0    1.0
B    1.0    0.0    1.0    0.0    5.0    3.0  731.0    1.0    0.0  ...    0.0    1.0    1.0   12.0    1.0    0.0    0.0    2.0    0.0
A    0.0    0.0    0.0    1.0    0.0    0.0    0.0  785.0    1.0  ...    0.0    0.0    0.0    0.0    1.0    0.0    2.0    0.0    0.0
J    1.0   27.0    0.0    0.0    0.0    0.0    0.0    0.0  711.0  ...    1.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
M    0.0    0.0    0.0    1.0    0.0    0.0    1.0    0.0    0.0  ...    0.0    0.0    0.0    1.0    0.0    0.0    0.0    0.0    0.0
X    1.0    1.0    0.0    0.0    1.0    0.0    0.0    0.0    0.0  ...    0.0    0.0    2.0    0.0    1.0    0.0    0.0   17.0    0.0
O    0.0    0.0    7.0    6.0    6.0    0.0    0.0    0.0    2.0  ...    0.0    0.0    0.0    1.0    0.0   12.0    0.0    0.0    0.0
R    0.0    0.0    5.0    5.0    1.0    3.0    8.0    0.0    0.0  ...    2.0    1.0    0.0    0.0    0.0    0.0    0.0   14.0    0.0
F    1.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  ...    0.0   35.0    1.0    2.0    0.0    0.0    0.0    0.0    0.0
C    3.0    1.0    0.0    0.0    3.0    0.0    0.0    0.0    0.0  ...    0.0    0.0    3.0    1.0    0.0    0.0    0.0    0.0    0.0
H    1.0    0.0    3.0    4.0    1.0    0.0    4.0    0.0    1.0  ...    1.0    1.0    2.0    0.0    0.0    0.0    5.0   12.0    0.0
W    0.0    0.0    0.0    0.0    1.0    0.0    0.0    0.0    0.0  ...    0.0    0.0    0.0    1.0    1.0    0.0    0.0    0.0    0.0
L    0.0    1.0    0.0    1.0    0.0    0.0    0.0    1.0    1.0  ...  747.0    2.0    3.0    0.0    0.0    0.0    0.0    1.0    0.0
P    0.0    0.0    1.0    0.0    0.0    0.0    0.0    0.0    0.0  ...    0.0  756.0    0.0    1.0    0.0    3.0    0.0    0.0    0.0
E    0.0    0.0    0.0    0.0   10.0    4.0    4.0    0.0    0.0  ...    3.0    0.0  732.0    0.0    0.0    0.0    0.0    6.0    1.0
V    1.0    0.0    0.0    5.0    2.0    0.0    9.0    0.0    0.0  ...    0.0    0.0    0.0  741.0    3.0    0.0    1.0    0.0    0.0
Y   11.0    0.0    0.0    0.0    0.0    0.0    0.0    2.0    0.0  ...    0.0    3.0    0.0    2.0  769.0    1.0    0.0    0.0    0.0
Q    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  ...    1.0    1.0    2.0    0.0    0.0  764.0    0.0    0.0    7.0
U    0.0    0.0    0.0    0.0    0.0    0.0    1.0    0.0    2.0  ...    0.0    0.0    0.0    0.0    1.0    0.0  802.0    1.0    0.0
K    0.0    0.0    1.0    0.0    2.0    0.0    0.0    0.0    0.0  ...    2.0    0.0    3.0    0.0    0.0    0.0    1.0  684.0    0.0
Z    0.0    0.0    0.0    0.0    0.0    1.0    1.0    0.0    1.0  ...    0.0    0.0    6.0    0.0    0.0    1.0    0.0    0.0  725.0

[26 rows x 26 columns]
